a, an	wį, wįxce
time: a long ~ (which has passed).	káaši
time: at this ~.	ðetxą́ci
time: be at that ~.	ecí
time: from this ~ on.	ðetxą́ha
time: in or near that ~.	ée htáha
time: it is ~.	éetxą, mįįðóhta
time: it's ~ again.	ékitxą
time: this ~.	ðétxą
time after time.	ohkíetxątxą, ótxątxą
time of day (as told by the clock).	mį́įoðaake
tinder.	žąąhcúkˀa
tiny.	wahóščažį
tip (of an object).	hpasú, ihtáɣe
tipi.	wažáihci
tire (of a vehicle).	hcéðe
tired.	kaaskíke, skíke
tired: be ~ of.	íibrą
tired: become or be ~ of.	oðúucˀake
tired: feel ~.	óžeðe
to.	ci, įkši, ki, kši
toad.	níižu oxáke
toad: horned ~.	kalǫ́eže
tobacco.	nąnúhu
tobacco bag.	nąnįǫ́kužu, nąnúhuoožúhaa
tobacco boss (whos sits to the left of the roadman in a peyote meeting).	nąnįǫ́pa olį́į
tobacco pouch.	nąnįǫ́kužu
today.	hą́ąpa, hǫ́ǫpa ðé
toe.	siihpó
together: place ~ (as when cooking two or more items together).	oðóhkiðe
toilet, toilet room.	ožehci
toilet paper.	íkahci
told: as it is or was ~ (e.g. as in a story or in the Bible). (see reportive markers)	
tomato.	hką́ąðe žúe
tomorrow.	kaasj̨́
tongue.	ðéeze
tongue-tied: be ~, tongue splayed or split.	ðéeze opásike
tonight.	hąąðé
Tonkawa (tribe or tribal member).	waðánii
too (also)	ški,-škítą
too (excessively).	wálį
too: he/she, it, or they ~.	eeškítą
too much or too long: person who talks ~.	íe scece, íeštą
tool.	wéhkikˀǫ
tool for cutting wood.	wépaase
tool used to make something	wékaaɣe
tooth.	híi
toothless.	híi jke
top, on top.	ákaha
top: on ~ of s.t	else ámąši
topple (as a tree topples)	xíða
torn	bráze
torn (said of clothing)	cúuða
tornado	htaacé hpíiži, htaacé óhesaži
tortoise	hkée
toss	ǫ́ǫða, ǫ́oðe
totter	sísiąðe
touch softly as with a feather fan, barely touch	ðiihcé
touch the of s.o	šáake oðį́įke
touch with the fingers	paaspą́
touch with the hand	ðiihtą́
toward	hta, htáha
toward: not ~ that way	émąhtažíha
toward the center	mąchéhtaha
toward you: go ~	šoðée
toward you (along a path toward where you [the hearer] are or toward something or someone nearer to you than to the speaker)	šée htaha
towel: hand ~	šáake ípukxa
towel: dish ~	hį́įce ípukxa
towel: paper ~	htaną́kˀa ípukxa
town	htą́wą
Town Builder (personal name)	htą́wakáaɣe
town crier	íekie, wacípxaį
toy with	ðiihíce
tracks	šáake
trade (noun)	íhkihkawį
trade (verb)	íhkihkawį káaɣe
trade for	íðuwį
trading house	watǫ́ǫžu
traditiong	óðaake
tradition: embrace as ~	oðį́įke
trailer	oðíhtą hcí oðáha
train	oðíhtą kˀą́saaki
trample	nąąstá
tranquil	škaškáða
transport (verb)	kˀį́ahi
trap (noun)	mą́ze oðóbrįįke
trash (noun)	ópoce
travel	kaalǫ́ðe, wamą́ðį
travel around	opáwįɣe
travel on (e.g., certain funds)	iiðée
traverse (e.g., a streer)	áðuuhta ðée
Treadway: George ~ (nickname: Stattered Forehead)	hpéeleke
treasure	wahcéka
treasure: keep as a ~	kícheðe
treasure one's own	kíoxta
treasure s.t	kíwalį
treasured: someone or something ~ (such as a favorite child)	óðoxta
treat others (medically)	wašcéðe
tree	žą́ą
tree: thorny ~	žą́ą waxáka
tree branch, tree branching out	žą́ą káxa
Tree-killer	[LFD] kaalį
trees growing in a nonrandom pattern.	žą́ą pe
tremble.	ðibrúbruɣe
trench (noun).	ną́ceaha
trench (verb).	náce káaɣe
trial.	áhkiisto
tribal council session.	hkiistó
tribe: western ~ or tribal member (refers to any tribe from the western United States).	hpáðį
tribe other than Osage (including western tribes).	ohkíhce
trick (verb).	mąɣíðe
trick them.	wáðihota
trigger.	mį́cehką
tripe.	hceeníxaxa
trouble: be in ~ for doing something wrong.	ohkíǫðe
trouble: have health ~ with.	íhuheka
trouble: make ~ for someone	ówǫ káaɣe
trouble someone	ðišǫ́ži, ówǫ káaɣe
troubled: be ~ by problem or sickness.	ókaše
troubled: be very ~ by (e.g., an illness, an ailing body part).	íhpiiži
trousers.	oðíkinąąžį
true.	wį́kše
true!	ékǫ
true: be ~ to.	wį́kše
true: be ~ to one's own.	okípše
true: be ~ to oneself.	wį́hkikše
trunk (box).	žą́ąhkoke
trunk (e.g., of a tree).	hú
trust oneself: not ~.	hkíxiða
truth.	wį́kše
truth: speak or tell the ~.	wį́kše
truthful.	wawį́kše
truthfully.	wáðohtą
truthfully: speak ~.	íe wáðohta
try (verb), try on.	íkˀuce
try hard, try one's best.	íkˀuce, waašká
tuberculosis.	mą́ąke ní, mą́ąke púze
tuberculosis.	hóxpe hpíiži (?), hóxpe zúpe (?)
Tuesday.	hą́ąpa wéðǫǫpa
tug (verb).	ðiitą́
tug something over in order to cover something or someone	áðuzu
Tulsa (Oklahoma).	htaasíkee htáwą, túlsa htáąwą
turbulence.	óochiže
turkey.	súhkahtąą
turkey buzzar.	héka
turkey cock.	áaju mą́ðį
turkey feather.	súhkahtąą mǫ́šǫ
turkey hen.	súhkahtąą mį́įka
turn (root.)	hkóįɣe, -wįɣe
turn (transitive)	ðiisą́ða
turn: be one's	waðíhta
turn: it is my ~	wíe
turn: whose	pée
turn: your	ðíe
turn around (root.)	hkóįɣe, -wįɣe
turn in the road	ípaašąha
turn off	ðiistą́, ðuutáaži
turn on	kaáɣe
turn one's own	liisą́ða
turn oneself around	ámąhta hkilíikoįɣe, hkilíisą
turn over (transitive)	ðiisą́ða, ípasą
turn over and over (transitive)	ðusą́sąwį
turn over one's own	liisą́ða
turn s.o or s.t around	ðiihkóįɣe
turn up	ðumáða
turn wrong side out	ðuháašɣðe
turnaround place	ípaašąha
turnip	tóolehtąą
turnover bread	wacúe žéela
turtle	hkée
twelve, twelfth	lébrą álįį ðǫǫpá
twenty, twentieth	lébrą ðǫǫpá
twenty-one, twenty-first	lébrą álįį ðǫǫpá wį́xci
25-cent piece	kašpéðpa
twice	ðǫǫpá
twings of a tree or bush: small	žąąžį, žą́ąxežį
twin (N.)	ðǫǫpátą
twist, twist around (e.g., a crepe paper streamer).	ðusą́sąwį
two	ðǫǫpá
two of them, couple, pair	nahkǫį́
type: what	táatą
typewriter	mą́ze htáhtaze
udder	paazé
ugly	ohtázaži
ulutate	ðaazó, waðáazo
umbrella	oðínii
unable	ðąącháži
unable: be ~ to do	ðuucˀáke
unable: be ~ to understand	hahkíe, kíopxaži
unable: items one was ~ to eat	ðaacˀ́áke
unable to move or start (as a motor vehicle)	šką́aži
unafraid	nǫ́ǫhpaži
unafraid of	íinǫ́ǫhpaži
uncle (specifically, brother of father)	
my father's brother	įhtáci, įhtácižį
your father's brother	ðiðáce, ðiðácežį
his/her father's brother	iðáce, iðácežį
uncle (specifically, brother of mother)	
my mother's brother	wįcéki
your mother's brother	ðįcéki
his/her mother's brother	įcéki
uncle (specifically, husband of sister of father)	
my father's sister's husband	wíhtą́ha
your father's sister's husband	ðihtą́ha
his/her father's sister's husband	ihtą́ha
unclean (dirty)	wasúhuži
unclean (sick, evil)	ízizike
unconcerned with: be ~	óðąąceši ðįké
uncooked, undercooked	cúutaži
uncover partially	opéni
under, underneath	mąché, mąchéhta, oðúluha
under the head	į́pehi
undergarment (for men or women)	mą́che, oðúxa
undersign	žáže kikáaɣe
understand	íiðe, ípahǫ, kíopxa, nąkˀǫ́
understand: be unable to ~	hahkíe, kíopxaži
understand: not ~	kíopxaži, pxáðaži
understand things	wáopxa
understanding: act of ~	nąąɣúce
undertake, undertake a new task under one's charge	okášą
underwear	mą́che oðúxa, oðíkinąąžį
undivided	bróka
undress	ðiištówe
undress (another person or oneself)	ðuušáwa
undress oneself, get undressed	hkilíiša, hkilúušawa, hkilúuštake
undress s.o	ðuušawį, ðuuštáke
uneaten item	ðaacˀáke
unfaithful	wawį́kšaži
unfavorable impression made upon another by offensive conduct	wáalake
unfitting	ékǫži
unhappy	kízoži
unhappy: be ~	kihǫ́ǫži
uniform (even)	stáko
uninterruptedly	šǫǫšǫ́we
unique	éžixci
unique thing: that ~, uniquely so	wįįðé
universe	mą́žą záani
universe, all the universe	níǫhta záani
unkempt	ɣǫ́ǫce, héxpa
unlikely	ée htáhaži
unload (remove)	ðoxpáwį, oðúuxpaðe
unmarried female	wáðuɣaži
unmarried person	kažą́si [JOD]
unobserved: be ~ (as a custom)	óðąąceši ðįké
unpredictable behavior: show ~	taeðáalįži
unreasonable, unreasonably	ée htáhaži
unreliable	óškika
unripe	cúutaži
unruly	ókˀą hpíiži, waðílą eekǫ́ įké
unruly: be ~	taeðáalįži
unseemly	ékǫži
unskilled: be ~ (at)	kǫ́žįka
unsound	eekǫ́ ðįké
unstable: mentally ~	cˀéka
unsuitable	éeži, ékǫži. ihtaháaži
unsuitably	ée htáhaži, ekǫ́į́ke, íhtaháaži
unsuitably: act ~	ókˀą éži
unsure: be ~ (of something)	hahkíe
untamed	óhesaži
untamed horse	hkáwa wahcéxi
untie (e.g. horse)	ðuuškáke
until	txą́ha
untroubled	ókašéįke
untruth	íxope
untruthful	wawį́kšaži
untruths: tell ~	íxope
unusual	éeži
unwell: be ~	íhpiiži
unwilling: be ~ to	iiną́hiži
up	ámąši
up: get ~ (from a bed or chair)	hpaahą́
up: hold or pull ~	ðuumą́ši
up: hold or raise ~	opáahą, paahą́
up: raise or turn ~	ðumáða
up: take ~ for someone	áhkie
up: wake or get ~	hpaahą́
up: above, in the upper part	ámąši
upon	á-
upon: place ~ (e.g., a suitcase on a table)	álįį
upon: put ~	ákaaspe
upon (used in numbers)	álįį
upright: be ~	mą́ši
upright: place an item ~ on another item	ále
upset: make s.o or push s.o to be ~	páalǫðį
upstairs	ámą́ši
upward: be ~	mą́ši
urinal	océže
urinate	céže, hkilúuhepe
urine	céženii
us	ąkóta
use a name for something or or someone	ðaacé
use someone's	ootá
use to bless oneself	íistahkiðe
used to (do, be)	ną [iterative], nąpe
using: go by ~	iið́ée
using (by means of)	í-
useless	ókaaɣeįke
usually	ną [iterative], nąpe
utensils: cooking ~	wéoohǫ́, wióohǫ
U-turn	ípaašąha
vacant space	óhką
vagina	úže
vague: be ~ about	kíopxaži
valence reducer prefix [val]	wa-
valuable	óxta
valuable things	wahcéka
value: something of no ~	mą́ąhpiiži
value: something	kíwalį
valued: someone or something ~ (such as a favorite child)	óðoxta
valueless	ókaaɣeįke
vanish	ðįké
vapor rising off standing water	opˀąða
vegetables	ówe, wasúutą
vein (blood vessel)	hką́, lušúpe
venerate	óxta káaɣe
venereal disease	wácinie
Verdigris River	waséhtą xóe
vermin	walúška
very	wálį, xci, žį, óožu
vest (noun)	ákahahpa, wéhkilį
vile	iiséwaðe
vine	žą́ą áace
vine: bean ~	hǫbrį́ hi
vinegar	níi cˀáaðe
viper	wécˀa
virgin (noun)	wáðuɣaži
Virgin Mary	ižį́ke iihǫ́, wahkǫ́ta ižį́ke iihǫ́
virtuos	óðohtą
vision (sight)	wawéeðe
visit (noun)	wéehkile
visit a relative or one's own (family)	íkihtǫpe
visit to ask or summon someone to attend or appear before others	kípą
visiting, on a visit	íihkiðemąðį
voice	hóo
vomit	lépe
vomit due to overeating	ókohpa
vote, vote for	mą́šą oðįįke
vote, vote for or against someone or something	páaleze
wad together with a sudden movement	kaaskí
wad up	ðibrúuska, ðiiskíke
wad up, wad together (e.g., clothing at the back of the neck)	ðiiskí
wade	žópše
wager (noun)	óžokˀa
wagon	oðíhtą
wail	ɣaaké
waist	ðúwe
wait	šée nąąžį́
wait, wait for	iðáhpe
wait for folks	wéðahpe
wait for one's own family or close persons	iðákihpe
waiter, waitress	óohǫ owáwakˀu
wake (transitive)	ðixí
wake by foot	nąąxí
wake up, wake (intransitive)	hpaahą́, iihkíðe, -xi
walk	mąðį́
walk: go for a ~	mąðį́ aðée
walk among folks	ómąðį
walk around	ákiɣe, ápše
walk fast	htą́ąðį
walk in	omą́ðį
walk on or upon	ámąðį
Walker: Josephine ~ (personal name)	wažáxį
walking: go ~	mąðį́ aðée
walking stick	íisa
Walks among the Cedars (personal name)	xǫ́ǫce mą́į
wallet	mą́zeskaoožú
walnut, black walnut	htákue
wander	opáwįɣe
want	íðilą, kǫ́ða
want: make folks/one ~ to	kǫ́ðawaðe
want as one's own, want for oneself	hkihkǫ́ða
want something that is another's	kíkǫða
war (noun)	taaké totą́
war: go to ~	taaké, taaké omą́ðį
war dances of the Osages	ilǫ́ǫška
warm (adjective and intransitive)	šcúuce, táahkace, taašcúe
warm (transitive)	táašcue káaɣe
warm oneself, as at a stove or fire	táašcuehkíðe
warpath	totą́
wary: be ~ of	íinǫǫhpe
wash (e.g. clothes, hair)	ðiiškí
wash (e.g. dishes, parts of the body, food items, a car)	ðuužá
wash clothes, wash stuff	waðíiški
wash clothes for oneself	hkilíiški
wash one's own (body parts or possessions)	lúuža
wash one's own (e.g. clothing or hair)	líiški
wash oneself with	íhkiluuža
wasp	mąąpíaza, wapázike
watch (verb)	tǫ́pe
watch (some entity or some process)	átǫpe
watch one's own things	kihtǫ́pe
watch out for	íinǫǫhpe
watch over (one's own things or people)	ákihtǫpe
watch over (some entity or some process)	átǫpe
watch over each other	áhkihtǫpe
watch over oneself, watch over one's own things	áhkihtǫpe
watch people or events	watǫ́pe
water	níi
water: flooding ~	níita
water moccasin	níi wécˀa
watermelon	sáhku
water-strider bug	ámąðį, niiámąðį
way: be in the ~	iðǫ́eðįhé
way: be in the ~ while moving	oðóšimąðį
way: by ~ of	ha
way: in the ~	oðóši, wíohkaðį
way: on the ~ to a certain point	htáha
way: other ~	ámąhta
way: that ~	émąhta, šeeðǫ́ha
way: the other ~	ámąhtaha, ímąhtaha
way: this ~	ðeekáha
way: this particular ~	wįįðé
way over there, way back in time or distance	kootáįke
ways	ókˀą
wayward	eekǫ́ ðíké, íinǫǫhpaži, nǫhǫ, waðílą, eekǫ́ įké
w.c. (toilet)	ožéhci
we	ąkóta
weak	wahéhe
wear	áǫ, į́, oną́ąžį, ǫ́ǫ
wear: have someone ~	įkšiðe
wear around the neck	nǫpˀį́
wear on the head	oolą́ke
wear one's own	álaha
Wearing Bright Colors (personal name)	hį́įhkiąpi
weary	óžeðe
weary: become or be ~ of something	oðúucˀake
weather	mą́ąɣe
weather: warm, hot, or sunny weather	mąąšcé
wedding	wéðuɣe
wedding (term used by a friend or family of the bride)	wáðuɣe
wedding (term used by a friend or family of the groom)	mį́įląke
wedding hat: Osage ~ (a top hat with plumes optionally worn by the bride)	lǫǫhúu
Wednesday	hą́ąpa wéðaabrį
weed	hpéže
week	hą́ąpa wahkǫtáki
weep	ɣaaké
weighted down	skíke
well (adjective)	ókašéįke sísi, tąhé
well (adverb)	ðáalį
well (interjection)	ehtą́, ną
well (interjection) (often precedes a statement or command)	há
well (of water)	níini
well: be ~	ní
well: doing ~	sísi
well: get ~	kiní, kítąhe, ónihkie
west	mįįáðee ehtáha
west wind	mǫ́ǫhahtáhu
western tribe or tribal member (refers to any tribe from the western United States)	hpáðį
wet	toohká
whachamacallit	tą́ąska
what	haakǫ́
what (interrogative), whatever	táatą
what: do ~ for	háažǫ
what for? (as a one word question)	táatą
what if, what would you think if	ną́htą
what kind	hǫ́ǫxcį, táatą
what pathway: by ~	howaįkíha
what sort, type, or class of	táatą
what time	mį́įoðaake háaną
what time in the future: at ~	haatxą́ta
what time in the past: at ~	haatxą́ci
what-do-you-call-it	tą́ąska
whatever	haakǫ́, táatą, táatą howachéeški
whatever (thing)	howachéeški
what's his/her name	tą́ąska
wheat, wheat field, wheat crop	wapóške ówe
wheel	hcelį́
wheel: automobile ~	hcéðe
wheelchair	álįįhceðe
when (adverb)	éetxą
when (conjunction)	ðáha, pátą, šǫ́, tą
when in the future	haatxą́ta
when in the past	haatxą́ci
whenever	áha
where, wherein, where at, where to, be where	howáįki
where: through ~	howaįkíha
wherever	háaški
wherever, be wherever	howáįki
whereupon	áha, káakǫ tą
which	ímą
which, which one	hówa
which one: exactly ~	hówaxcį
which way (manner)	haakǫ́
which way (path)	howaįkíha
whichever one (inanimate)	howachéeški
while	sǫ́
while, for a while, after a while, a little while	katxą́
whip, horse whip	wékaaži
whip strongly	ochį́
whipman, whip	wanáše
whirl	-wįɣe
Whirlwind (name of a character in an Osage fable)	htaacéžį
whiskers	hį́į, į́hį aok
whistle	opíɣą
white	ská
white hair (of the head)	hpahį́įska
white man's language	įįštáxį íe
White Mountain (personal name)	paaxóska
white person (Caucasian)	įįštáxį, mą́ąhį htą́ą, xuháaska
whiten	skákaaɣe
whizzing sound	htáhtaze
who, whom	pée
